Рабочее пространство	Workspace	Жұмыс кеңістігі
Аккаунт	Account	Аккаунт
Обзор	Overview	Шолу
Узел и переводы	Participant and transfers	Қатысушы және аударымдар
Кластеры	Clusters	Кластерлер
Мои проверки	My reviews	Менің тексерулерім
Проверяемость	Verification	Тексеру
AI-расследователь	AI investigator	AI зерттеуші
:material/grid_view: Обзор	:material/grid_view: Overview	:material/grid_view: Шолу
:material/tune: Узел и переводы	:material/tune: Participant and transfers	:material/tune: Қатысушы және аударымдар
:material/hub: Кластеры	:material/hub: Clusters	:material/hub: Кластерлер
:material/task_alt: Мои проверки	:material/task_alt: My reviews	:material/task_alt: Менің тексерулерім
:material/description: Проверяемость	:material/description: Verification	:material/description: Тексеру
:material/travel_explore: AI-расследователь	:material/travel_explore: AI investigator	:material/travel_explore: AI зерттеуші
Мониторинг транзакций	Transaction monitoring	Транзакцияларды бақылау
Кластеры связей	Connection clusters	Байланыс кластерлері
Проверяемость расчёта	Calculation verification	Есептеуді тексеру
Выберите, с кого начать: приоритет, связи и наблюдаемые суммы в одном месте.	Choose where to start: review priorities, connections and observed amounts in one place.	Кімнен бастау керегін таңдаңыз: басымдықтар, байланыстар және бақыланған сомалар бір жерде.
Проследите переводы, проверьте ограничения и сохраните свой вывод.	Follow transfers, check data limitations and save your findings.	Аударымдарды қадағалап, деректер шектеулерін тексеріп, қорытындыңызды сақтаңыз.
Исследуйте группы связанных участников и откройте нужного участника.	Explore connected groups and open a participant.	Байланысқан топтарды зерттеп, қажетті қатысушыны ашыңыз.
Продолжите начатую работу: здесь ваши заметки, статусы и записки.	Continue your work with saved notes, statuses and reports.	Сақталған жазбалар, мәртебелер және есептер арқылы жұмысты жалғастырыңыз.
Проверьте источник данных, результаты расчёта и скачайте выгрузки.	Check the data source and calculated results, and download exports.	Дереккөзді, есептеу нәтижелерін тексеріп, файлдарды жүктеп алыңыз.
Проверяйте цепочки по очереди или выберите любого участника.	Review chains in order or choose any participant.	Тізбектерді кезекпен тексеріңіз немесе кез келген қатысушыны таңдаңыз.
Источник данных	Data source	Дереккөз
Источник аналитики	Analytics source	Талдау дереккөзі
Файлы CSV / Parquet	CSV / Parquet files	CSV / Parquet файлдары
Каталог CSV	CSV directory	CSV бумасы
Каталог parquet	Parquet directory	Parquet бумасы
Для файлов: пути относительно корня проекта. MariaDB: снимки из настроенного сервера.	File paths are relative to the project root. MariaDB snapshots come from the configured server.	Файл жолдары жоба түбірінен беріледі. MariaDB көшірмелері бапталған серверден алынады.
Снимок MariaDB	MariaDB snapshot	MariaDB көшірмесі
Версия аналитики	Analytics version	Талдау нұсқасы
Обновить данные	Refresh data	Деректерді жаңарту
Прототип команды · не официальный сервис банка	Team prototype · not an official bank service	Команда прототипі · банктің ресми қызметі емес
MariaDB · аккаунты и заметки	MariaDB · accounts and notes	MariaDB · аккаунттар мен жазбалар
Локальное пространство	Local workspace	Жергілікті жұмыс кеңістігі
▦ &nbsp; Июль 2026	▦ July 2026	▦ 2026 жылғы шілде
Период выборки	Sample period	Іріктеме кезеңі
Участники	Participants	Қатысушылар
Связи	Connections	Байланыстар
Переводы	Transfers	Аударымдар
Группы	Groups	Топтар
Участники наблюдаемого графа	Participants in the observed graph	Бақыланған граф қатысушылары
Связи между участниками	Connections between participants	Қатысушылар арасындағы байланыстар
В исходной выборке	In the source sample	Бастапқы іріктемеде
